time,r6i1p1f1,r1i1p1f1,r2i1p1f1,r3i1p1f1,r5i1p1f1,r4i1p1f1,r10i1p1f1,r9i1p1f1,r8i1p1f1,r7i1p1f1,r4i1p5f1,r3i1p5f1,r2i1p5f1,r5i1p5f1,r1i1p5f1,r5i1p1f2,r2i1p1f2,r4i1p1f2,r3i1p1f2,r1i1p1f2,r2i1p3f1,r4i1p3f1,r5i1p3f1,r1i1p3f1,r3i1p3f1
2004-03-16 12:00:00,6.242326,5.741066,5.6575174,5.4855804,5.877143,5.4190464,6.236833,6.0304017,5.49376,5.3191895,6.031377,6.117847,5.8514647,6.7888503,6.413219,6.1899376,5.2565265,6.2425385,6.197352,5.491121,6.6146994,5.69617,6.17762,6.1756997,5.5762024
2004-04-16 00:00:00,5.902087,5.1514335,5.2866116,5.954075,5.582996,5.473229,7.3209586,5.349544,5.95973,6.41757,5.6176662,6.2980623,5.550066,5.616512,5.7829213,6.4573874,5.0349236,5.015165,5.604647,6.573998,5.73466,6.419722,5.5662436,5.7739334,5.2711625
2004-05-16 12:00:00,5.3490443,6.082398,4.897548,5.594164,4.7123466,5.268162,5.242302,5.290187,5.714363,5.5332565,5.899373,5.5890446,5.5886893,6.0004554,4.8384147,5.8687344,5.223267,4.9745417,5.798731,5.6360297,5.308343,5.6619363,5.5962353,5.3488793,5.792322
2004-06-16 00:00:00,5.485115,5.757419,5.672164,5.001848,5.6799455,5.190401,4.9991674,5.8144264,4.9884,4.824377,5.573311,5.8326283,5.519272,5.013235,4.962394,5.6457496,5.6081195,5.094492,5.0900726,5.475257,4.8945594,5.3351007,4.7447023,5.180483,6.0934796
2004-07-16 12:00:00,5.4324207,4.7838244,4.8049445,5.3301296,5.149513,4.719852,5.0862384,5.2098594,4.902611,5.5364294,5.06043,5.516075,4.866434,5.3218393,4.669209,5.282476,4.786304,5.441374,5.3714685,5.287222,4.9304156,4.9261374,4.7172794,4.7525454,4.795116
2004-08-16 12:00:00,6.0988564,5.0864954,5.1409035,6.089129,5.083635,5.482683,5.503204,4.808037,5.1038456,5.219464,4.974514,5.2966733,5.1279135,4.556805,6.044983,4.929034,5.430941,5.082281,5.813817,4.579596,5.11876,4.721945,5.204242,4.8213444,4.5535116
2004-09-16 00:00:00,5.521247,5.7252603,6.4205194,5.5209627,5.757248,5.234118,5.9304123,5.511904,5.8929386,5.5159483,5.3987985,5.8756757,5.545117,5.493485,5.1880817,5.5494967,5.637192,5.192794,5.728739,5.0172772,5.3205895,6.208128,5.9587536,5.2501307,5.940526
2004-10-16 12:00:00,6.0474114,6.0352774,5.5660696,5.9893603,5.889673,5.4811077,6.34168,5.843859,6.2924514,5.5761065,5.7734504,5.9008904,6.2348123,6.2573333,6.0921645,5.796622,6.1340656,5.903729,5.7761135,5.437338,5.542905,5.8693943,6.0837073,5.637969,6.533333
2004-11-16 00:00:00,6.120139,6.863559,5.4975834,5.7479153,5.967176,5.785449,6.4938297,6.655924,6.092627,6.787,5.640801,7.0560746,6.2425604,6.2233496,6.2370105,6.157172,5.8024487,5.702687,6.7120304,5.8206453,5.3859057,5.985151,5.569872,6.0521264,6.7557354
2004-12-16 12:00:00,6.7816086,5.787069,6.4291,6.046448,5.6042295,5.879328,6.7816577,5.613073,5.367931,6.013265,6.193205,5.735976,5.8326077,6.033309,5.648899,5.4295516,5.917065,6.611681,5.9175844,6.070661,6.2223687,5.2367635,5.8616147,6.053713,6.6596584
2005-01-16 12:00:00,5.7836523,6.276402,5.4125466,5.921914,5.4458,6.192377,6.357425,5.690142,5.702123,6.322163,5.9753857,5.9758024,6.0998197,6.6955643,6.2692294,5.485216,6.038965,5.469097,5.675048,6.2120953,6.082377,6.076266,5.561436,5.8369904,5.991385
